Name,Scientific Name,Common Names,Common Uses,Region,Overview,Traditional Uses,Poison,Images
Tulsi,Ocimum tenuiflorum,"Holy Basil","Boosts immunity, reduces stress, improves respiratory health","India, Southeast Asia","Sacred in Ayurveda, known for antimicrobial and adaptogenic properties.","For over 5,000 years, Tulsi has been a sacred plant in Indian Ayurvedic medicine, where it is known as the 'Queen of Herbs' and used for purification, stress relief, and respiratory health. Hindu traditions consider it holy, placing it in home gardens for spiritual and medicinal benefits. In Southeast Asia, Tulsi tea is used to promote digestion and immunity.","No known toxic effects.","Avoid these 8 common mistakes to keep your aloe vera plants thriving.jpg"
Neem,Azadirachta indica,"Indian Lilac","Antibacterial, skin health, liver detox, regulates blood sugar","India, Africa","A powerful detoxifying plant used for skin conditions and blood purification.","In India, Neem has been called 'The Village Pharmacy' for centuries due to its incredible medicinal properties. The bark, leaves, and oil have been used in Ayurvedic remedies for skin diseases, hair care, and immune support. In Africa, traditional healers have long used Neem leaves for treating fevers and malaria.","Avoid large consumption; may cause liver issues in high doses.",""
Turmeric,Curcuma longa,"Golden Spice","Anti-inflammatory, antioxidant, aids digestion, improves skin health","India, Southeast Asia","Contains curcumin, a potent compound for reducing inflammation and improving overall health.","Used for over 4,500 years in Indian Ayurveda and Traditional Chinese Medicine, Turmeric is known as 'The Golden Spice.' It is used in sacred rituals, food preservation, and for its anti-inflammatory properties. In Thailand, turmeric-based pastes are applied to the skin for healing wounds and reducing acne.","No known toxic effects.",""
Ashwagandha,Withania somnifera,"Indian Ginseng, Winter Cherry","Reduces stress, boosts energy, enhances brain function","India, Middle East","An adaptogenic herb that supports adrenal function and mental clarity.","Known as 'Indian Ginseng,' Ashwagandha has been a cornerstone of Ayurvedic medicine for over 3,000 years. Ancient warriors consumed it for strength and stamina, while yogis used it to calm the mind. In Persia (modern-day Iran), it has been used in traditional healing practices to restore vitality.","No known toxic effects.",""
Aloe Vera,Aloe barbadensis miller,"Burn Plant, Lily of the Desert","Soothes burns, aids digestion, supports skin health","Africa, India, Middle East","Used for centuries for its cooling and healing properties in skincare and gut health.","Ancient Egyptians called Aloe Vera the 'Plant of Immortality,' using it in embalming and for wound healing. In India, it has been a key ingredient in Ayurvedic treatments for skin conditions and digestion. In the Middle East, it has been used for centuries to hydrate the skin in desert climates.","Oral consumption of latex form may cause digestive irritation.",""
Ginger,Zingiber officinale,"Sunthi (Sanskrit), Adraka (Hindi)","Eases nausea, aids digestion, reduces inflammation, fights infections","Southeast Asia","A warming herb used for digestive support and anti-inflammatory benefits.","Originating from the tropical rainforests of Southeast Asia, Ginger was one of the first spices traded along the Silk Road. Chinese herbalists have used it for over 2,500 years to treat colds and nausea, while Indian Ayurvedic texts mention its ability to 'ignite the digestive fire.'","No known toxic effects.",""
Moringa,Moringa oleifera,"Miracle Tree, Drumstick Tree","High in vitamins, boosts immunity, supports heart health","India, Africa, South America","Known as the 'Miracle Tree' for its high nutrient content and detoxifying properties.","Moringa has been used in India’s Siddha medicine for centuries as a treatment for over 300 ailments. In West Africa, it is called 'Nebedaye' (never die) due to its incredible nutritional value and ability to thrive in droughts. In South America, indigenous Amazonian tribes consume it for energy and immunity.","Seeds may have toxic alkaloids if consumed in excess.",""
Peppermint,Mentha piperita,"None (commonly called Peppermint)","Relieves headaches, supports digestion, freshens breath","Worldwide","A cooling herb widely used in teas and remedies for digestion and relaxation.","Ancient Greeks and Romans used Peppermint in baths and food for its refreshing properties. In medieval Europe, it was used to scent homes and ward off rodents. In the Middle East, peppermint tea has been a staple for digestion and relaxation for centuries.","No known toxic effects.",""
Licorice Root,Glycyrrhiza glabra,"Sweet Root","Soothes sore throat, improves gut health, reduces inflammation","Europe, Asia","A natural sweetener with strong anti-inflammatory and respiratory benefits.","Ancient Egyptian papyri mention licorice as a remedy for coughs, dating back over 3,000 years. In Traditional Chinese Medicine, it is considered a 'harmonizing herb' that enhances other herbs’ effects. The Greeks and Romans used it to improve endurance in soldiers.","Excess consumption may lead to high blood pressure.",""
Cinnamon,Cinnamomum verum,"Ceylon Cinnamon, True Cinnamon","Regulates blood sugar, has antimicrobial properties, supports heart health","India, Sri Lanka","A warming spice used for its blood sugar-stabilizing and antioxidant properties.","Cinnamon was once more valuable than gold in ancient trade routes. In India and Sri Lanka, it has been used in Ayurvedic medicine for blood sugar control and digestion. The ancient Egyptians used it in embalming, believing in its preservative powers.","No known toxic effects.",""
Lavender,Lavandula angustifolia,"English Lavender, True Lavender","Reduces anxiety, improves sleep, treats skin ailments","Mediterranean regions","Famous for its calming effects in aromatherapy and stress relief.","Ancient Romans used Lavender in their baths and perfumes, believing it purified the body and mind. In Provence, France, it has been grown for centuries and is still harvested for essential oil production. English herbalists prescribed it for nervous disorders and insomnia.","No known toxic effects.",""
Electric Daisy,Spilanthes acmella,"Toothache Plant","Natural anesthetic for toothaches, boosts immunity, relieves muscle pain","South America, India","Known as the 'Toothache Plant,' it creates a numbing sensation and is used for pain relief.","Indigenous Amazonian tribes have used Electric Daisy for centuries to numb tooth pain and strengthen immunity. In India, it is found in traditional healing practices for oral health.","No known toxic effects.",""
Clove,Syzygium aromaticum,"None (commonly called Clove)","Relieves tooth pain, improves digestion, rich in antioxidants","India, Indonesia","A potent spice with antimicrobial properties, often used for oral health and digestion.","Cloves were highly prized in the spice trade, leading to wars between colonial powers over the Molucca Islands (Spice Islands). In Indonesia, they are still used in traditional medicine and cuisine. Indian Ayurvedic medicine prescribes cloves for digestion and dental care.","Avoid excessive consumption; may cause liver toxicity in high doses.",""
